custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/total_reward,custom/avg_center_dev,custom/total_distance,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
0.04245283018867924,10.688887307373346,-0.039435930640548164,-1.9717965320274082,0.7806745889665626,9.729971307097003,,,,,,,,,,
,,,,,,115,62.375,3.8913078750000003,4491,72,38,,,,
0.3333333333333333,12.719030074405946,0.052639551400268283,3.000454429815292,0.6462424512206005,13.198481451487169,,,,,,,,,,
0.019704433497536946,9.907246047277441,-0.025748672516962536,-1.0299469006785014,0.30413309675711886,7.260651655262336,,,,,,,,,,
0.20689655172413793,11.196542720372461,0.0866840598512393,5.201043591074358,0.5350101547772413,12.25199466792401,,,,,,,,,,
0.042704626334519574,10.71100634498959,-0.018566704614616812,-1.0768688676477751,0.7762058981487184,11.312244717264548,,,,,,,,,,
,,,,,,121,61.86842105263158,3.765751157894737,4702,76,38,,,,
0.3448275862068966,16.395795335833302,0.06997602314457249,4.7583695738309295,0.4847131935193598,20.28963016322814,,,,,,,,,,
0.08900523560209424,12.48830019180359,0.14916285386835468,11.48553974786331,0.5432074761343368,17.602235356811434,,,,,,,,,,
0.5,16.137963342323072,0.22129692216696537,17.039863006856333,0.5503932846260354,22.735927427420393,,,,,,,,,,
0.02932551319648094,9.923288232947694,-0.0010647823769552708,-0.059627813109495165,0.49758257505300113,10.213064941810444,,,,,,,,,,
,,,,,,128,62.2,3.9923252250000005,4976,80,38,,,,
0.6888888888888889,18.0061208236059,-0.01651191844585829,-1.5025845785731047,1.257076146991363,30.010501788463444,,,,,,,,,,
0.13740458015267176,16.409841120672745,-0.016331417437394607,-1.0452107159932549,0.6226160756517422,19.186340710381046,,,,,,,,,,
0.21428571428571427,10.267420974581933,-0.0399153854031337,-1.9159384993504176,0.5675357833167899,8.903237758902833,,,,,,,,,,
0.02459016393442623,12.671682621941935,0.1145782571079758,7.676743226234379,0.5922888161304868,15.493145631160587,,,,,,,,,,
,,,,,,134,62.404761904761905,3.8387206071428572,5242,84,39,,,,
0.05726872246696035,11.038879417522239,0.03527969638234259,2.3284599612346106,0.3505613922514109,13.244049653876573,,,,,,,,,,
0.07780979827089338,17.506858963875597,0.21335886452391156,17.282068026436836,0.6252814377947082,25.978221957106143,,,,,,,,,,
0.6818181818181818,17.290643720685136,0.15515690906950708,15.826004725089721,0.6243430162304414,32.37360159220407,,,,,,,,,,
0.038011695906432746,12.033426557322661,0.005248819558810505,0.2781874366169568,0.7147760921992196,11.602495100116357,,,,,,,,,,
,,,,,,140,62.95454545454545,4.06884065909091,5540,88,39,,,,
